"PID","CITY","ZIPCODE","LUC","OWN_OCC","LIVING_AREA","YR_BUILT","EXT_COND","BED_RMS","FULL_BTH","VALUE_2015","VALUE_2016","VALUE_2017","VALUE_2018","VALUE_2019","VALUE_2020","VALUE_2021"
101097000,"EAST BOSTON","02128",101,"Y",1562,1920,"A - Average",4,2,286700,381800,404700,416900,437900,490900,603100
101101000,"EAST BOSTON","02128",101,"Y",2200,1900,"A - Average",4,2,235300,306900,325400,335200,352100,394500,521000
101102000,"EAST BOSTON","02128",101,"N",1550,1916,"P - Poor",3,1,237700,290200,307600,316900,332800,389400,427900
101103000,"EAST BOSTON","02128",101,"Y",1596,1912,"A - Average",3,2,246000,305600,323900,406200,426600,478000,479700
101105000,"EAST BOSTON","02128",101,"Y",1610,1928,"G - Good",3,2,309500,381700,404600,416800,437800,490500,585500
101106000,"EAST BOSTON","02128",101,"Y",1158,1900,"A - Average",3,1,238300,303200,321400,331100,347800,389700,481200
101131000,"EAST BOSTON","02128",101,"Y",1560,2000,"G - Good",2,2,349900,394000,417600,430300,451900,506100,602900
101134000,"EAST BOSTON","02128",101,"N",1388,1900,"A - Average",3,2,255400,302400,320600,330200,346900,388600,572900
101135000,"EAST BOSTON","02128",101,"Y",1248,1986,"A - Average",2,1,168500,207400,219900,226500,237900,266600,353300
101137000,"EAST BOSTON","02128",101,"Y",943,1900,"A - Average",2,1,178400,224500,237900,245100,257500,288400,353100
101138000,"EAST BOSTON","02128",101,"Y",1118,1900,"A - Average",2,1,252100,285300,302500,311600,327300,367700,446600
101140000,"EAST BOSTON","02128",101,"N",960,1987,"A - Average",2,1,272900,315300,334200,344300,361600,405000,507000
101143020,"EAST BOSTON","02128",101,"Y",1344,1991,"A - Average",2,1,279100,349100,370000,380900,400000,451700,506800
101147000,"EAST BOSTON","02128",101,"Y",1098,1900,"G - Good",4,1,245800,295600,313300,297900,368500,412900,474800
101153000,"EAST BOSTON","02128",101,"Y",1006,1900,"A - Average",3,1,196300,229200,243000,250300,262900,293400,371600
101161000,"EAST BOSTON","02128",101,"Y",2035,1910,"G - Good",2,2,248100,296900,341000,351300,369000,414200,531900
101165000,"EAST BOSTON","02128",101,"Y",1663,1910,"A - Average",4,1,251900,301400,319500,373200,392000,439800,502700
101166000,"EAST BOSTON","02128",101,"N",1569,1910,"G - Good",2,1,271300,335600,355700,366400,384900,430700,519400
